date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:08	68061/68061	---M--	200	added ('OK')	image/png	etag:%22bb00273928687b3f4c100d2f565a09cf%22	http://product.hstatic.net/200000281647/product/desert_99a3c20736924f89881367c50bf96295_large.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/desert_99a3c20736924f89881367c50bf96295_large.png	(from https://onthecard.vn/)
15:57:10	14906/14906	---M--	200	added ('OK')	image/png	etag:%226fd49808adea15fa344e6c7f220cac04%22	http://product.hstatic.net/200000281647/product/desert_copy_3c0bcc3d7e5143f7a85e2a26effb4af9_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/desert_copy_3c0bcc3d7e5143f7a85e2a26effb4af9_medium.png	(from https://onthecard.vn/)
15:57:17	101731/101731	---M--	200	added ('OK')	image/png	etag:%227aa23c6b18591727197aedd5fcca58e5%22	http://product.hstatic.net/200000281647/product/desert_99a3c20736924f89881367c50bf96295_grande.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/desert_99a3c20736924f89881367c50bf96295_grande.png	(from https://onthecard.vn/)
15:57:20	56841/56841	---M--	200	added ('OK')	image/png	etag:%228db78f7272922de7c81be70c6fd8b01b%22	http://product.hstatic.net/200000281647/product/desert_copy_3c0bcc3d7e5143f7a85e2a26effb4af9_large.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/desert_copy_3c0bcc3d7e5143f7a85e2a26effb4af9_large.png	(from https://onthecard.vn/)
15:57:28	504393/504393	---MCZ	200	added ('OK')	text/html	etag:W/%22801ef39007e44c23a00c7e808489c255%22	https://onthecard.vn/products/popon-daisy	G:/backup/onthecard_v2/onthecard.vn/products/popon-daisy.html	(from https://onthecard.vn/)
15:57:33	25507/25507	---M--	200	added ('OK')	image/png	etag:%22eebf880a289c82f1e6c30c418b84cb93%22	http://product.hstatic.net/200000281647/product/daisy_7d126c88028a45e993698266611381e8_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/daisy_7d126c88028a45e993698266611381e8_medium.png	(from https://onthecard.vn/)
15:57:34	91436/91436	---M--	200	added ('OK')	image/png	etag:%228b9dfb91b9a70789fe87d628b8c548fd%22	http://product.hstatic.net/200000281647/product/desert_copy_3c0bcc3d7e5143f7a85e2a26effb4af9_grande.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/desert_copy_3c0bcc3d7e5143f7a85e2a26effb4af9_grande.png	(from https://onthecard.vn/)
15:57:47	83822/83822	---M--	200	added ('OK')	image/png	etag:%227afd471dd304d365a7a48a3526ecb5d1%22	http://product.hstatic.net/200000281647/product/daisy_7d126c88028a45e993698266611381e8_large.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/daisy_7d126c88028a45e993698266611381e8_large.png	(from https://onthecard.vn/)
15:57:49	15982/15982	---M--	200	added ('OK')	image/png	etag:%2235fdceb5a77e289ad2b19c6d75cf1bc3%22	http://product.hstatic.net/200000281647/product/daisy_copy_2813b570d156420cb49c781a48ec7e41_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/daisy_copy_2813b570d156420cb49c781a48ec7e41_medium.png	(from https://onthecard.vn/)
15:57:54	123766/123766	---M--	200	added ('OK')	image/png	etag:%22e8a14f0e8e65a5328ed9acca4140e6a3%22	http://product.hstatic.net/200000281647/product/daisy_7d126c88028a45e993698266611381e8_grande.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/daisy_7d126c88028a45e993698266611381e8_grande.png	(from https://onthecard.vn/)
15:58:00	61461/61461	---M--	200	added ('OK')	image/png	etag:%22585c0e1886a187c27fda04e408333c52%22	http://product.hstatic.net/200000281647/product/daisy_copy_2813b570d156420cb49c781a48ec7e41_large.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/daisy_copy_2813b570d156420cb49c781a48ec7e41_large.png	(from https://onthecard.vn/)
15:58:08	504020/504020	---MCZ	200	added ('OK')	text/html	etag:W/%224b730152431e42e3978e640bd0907f1d%22	https://onthecard.vn/products/popon-hologram	G:/backup/onthecard_v2/onthecard.vn/products/popon-hologram.html	(from https://onthecard.vn/)
15:58:12	20784/20784	---M--	200	added ('OK')	image/png	etag:%224519d607d1bba05367948bff0781f208%22	http://product.hstatic.net/200000281647/product/hologram__eec4abfe1d6d44b7b1f0f9dc2391524c_medium.png	G:/backup/onthecard_v2/product.hstatic.net/200000281647/product/hologram__eec4abfe1d6d44b7b1f0f9dc2391524c_medium.png	(from https://onthecard.vn/)
